Feature,Importance
genre_decade_vote_mean,0.20562237595802033
runtime,0.13157980216986162
vote_count,0.12010453478817722
log_vote_count,0.10665571211839774
is_en,0.07567714180840522
genres_Horror,0.07247520405307734
genre_vote_mean,0.057117906514662274
votes_per_year,0.04842351551349495
production_countries_United States of America,0.03256229127285621
tagline_len,0.03089465261303732
genres_Drama,0.028896521191049553
release_year,0.028456501172769277
movie_age,0.028002726045736056
genres_Documentary,0.01864671578995703
budget,0.017212010876913687
genres_Thriller,0.014616069361351099
release_5_years,0.012592572071239625
genres_Action,0.010919772132091183
genres_TV Movie,0.010840606715469384
production_countries_Japan,0.010599193550947007
overview_len,0.010161057202517214
genres_Science Fiction,0.010059591125786893
genres_Animation,0.009929048035156466
production_countries_Italy,0.009100136482395245
production_countries_France,0.00868596209269704
genres_Romance,0.006327252797865414
production_companies_None,0.005290445678453307
production_countries_Spain,0.004959078273382177
genres_Music,0.004429091535566921
genres_Comedy,0.00396950671496114
production_countries_United Kingdom,0.003879174492411952
production_countries_Mexico,0.003199779659734976
production_countries_None,0.002632046842901071
production_countries_South Korea,0.002551644033279163
has_budget,0.0023891976273677077
has_budget,0.0021381593561086106
genres_Family,0.002044870036665351
genres_Mystery,0.0020011988576664665
production_countries_India,0.0019439830777226066
genres_Adventure,0.001543726161141922
production_countries_Turkey,0.0015207788498018176
production_countries_Soviet Union,0.0014344044712845249
production_countries_Russia,0.001388274765567416
genres_None,0.001322615349843324
production_countries_Germany,0.0011536344917199054
production_companies_BBC,0.0010474882442122297
genres_Crime,0.0009428008717858766
production_countries_Sweden,0.0008706226200100018
production_countries_Brazil,0.0007924191599183744
is_short_keyword,0.0007670011765942166
genres_Fantasy,0.0007608473237441872
production_countries_Canada,0.0006579727914641395
production_countries_Indonesia,0.0005880532353381894
production_countries_Hong Kong,0.0005704903870774258
production_companies_The Asylum,0.000568915380009437
production_countries_Romania,0.000530994956529108
genres_History,0.0004991037977752157
production_countries_Czechoslovakia,0.0004926339867871928
production_companies_Toei Company,0.00036055741980831475
production_countries_Egypt,0.0003008544054708869
production_countries_Poland,0.00028941992562822166
production_companies_ARTE,0.0002832901792787156
production_countries_Iran,0.00028000793710109966
production_countries_Finland,0.00026237281879660764
production_companies_Metro-Goldwyn-Mayer,0.0002533632005748098
genres_Western,0.00024274372010617574
genres_War,0.00022429907724654753
production_countries_Philippines,0.0002019592445867844
production_companies_Columbia Pictures,0.00018087772388266268
production_companies_Warner Bros. Pictures,0.00017328847161817473
production_countries_Denmark,0.00016986000431087834
production_companies_Warner Bros. Animation,0.00016114926339247086
production_companies_Leon Schlesinger Productions,0.0001511645899443367
production_countries_China,0.00014826363759920522
production_companies_Walt Disney Productions,0.00014708754756227437
production_companies_TF1 Films Production,0.00013456046669569905
production_countries_Belgium,0.00013210221969901288
production_companies_Lifetime,0.00013037218372697812
production_countries_Argentina,0.0001294354686502869
production_countries_Greece,0.00012914277547533114
production_companies_Nikkatsu Corporation,0.0001253626658232311
production_companies_Universal Pictures,0.00012314879410722223
production_companies_Warner Bros. Cartoons,0.00011523180795293568
production_countries_Thailand,0.00010101333889199101
production_companies_Shaw Brothers,0.00010071798755004198
production_companies_20th Century Fox,9.655417806619952e-05
production_countries_Netherlands,9.555196730652273e-05
production_companies_RAI,9.425640270933467e-05
production_companies_Canal+,9.384700626982183e-05
production_companies_TOHO,8.09586471438496e-05
production_companies_Reel One Entertainment,7.211656543006114e-05
production_countries_Switzerland,7.098222621432519e-05
production_companies_Paramount,7.019808574368217e-05
production_countries_Hungary,6.626324757786516e-05
production_countries_Australia,6.389070955352596e-05
production_countries_Portugal,6.377020719669854e-05
production_companies_Gaumont,6.139535096726778e-05
production_countries_Czech Republic,6.025748602144038e-05
production_companies_Shochiku,5.8648620612065866e-05
production_companies_Mosfilm,5.724427298863337e-05
production_companies_RKO Radio Pictures,5.567597251434453e-05
production_countries_Norway,5.437046459390803e-05
production_companies_SF Studios,4.695313006753812e-05
production_countries_Austria,4.264008989129417e-05
production_companies_CJ Entertainment,4.068759460366065e-05
production_countries_Taiwan,3.9116176474491016e-05
production_companies_ZDF,2.6016542893919947e-05
production_countries_Yugoslavia,2.5477360136261274e-05
production_companies_United Artists,2.3595822948948387e-05
production_companies_Walt Disney Pictures,2.2301982813971525e-05
production_companies_Universal International Pictures,2.151595178639178e-05
production_companies_ARTE France Cinéma,2.0231786235191007e-05
production_companies_RAI Cinema,1.706990650841394e-05
production_countries_Israel,1.5118973939642913e-05
production_countries_Chile,1.4406064277627065e-05
production_companies_TVE,1.4054290554255744e-05
production_companies_CNC,1.4038649622383234e-05
production_countries_Colombia,1.3840327649907072e-05
production_companies_Lionsgate,1.3564057974602365e-05
production_countries_Ireland,1.308063556745675e-05
production_companies_ARD,1.2604569284210611e-05
production_companies_France 2 Cinéma,1.235873936368326e-05
production_companies_France 3 Cinéma,1.2189995636015742e-05
production_companies_StudioCanal,1.1998507341276462e-05
production_countries_Ukraine,1.1224609503564445e-05
production_companies_Film i Väst,1.0594595290854805e-05
production_companies_ONF | NFB,1.028676915312078e-05
production_companies_Nordisk Film Denmark,9.60796284500038e-06
production_countries_South Africa,9.450735670791334e-06
production_companies_Film4 Productions,7.645329848599713e-06
production_companies_Constantin Film,3.845721110982192e-06
production_companies_BBC Film,3.6077566056672024e-06
production_companies_New Line Cinema,1.769064562162391e-06
production_companies_Miramax,1.5602366285693876e-06
production_countries_New Zealand,9.039438490272558e-07
production_countries_Luxembourg,6.812558304915529e-07
